DateTime,Type,kW_del,kWh
2019/07/01,C,78988.00,19747
2019/07/01,C,78720.00,19680
2019/07/01,C,78528.00,19632
2019/07/01,C,78374.00,19593.5
2019/07/01,C,78796.00,19699
2019/07/01,C,78528.00,19632
2019/07/01,C,78451.00,19612.75
2019/07/01,C,78566.00,19641.5
2019/07/01,C,78028.00,19507
2019/07/01,C,78566.00,19641.5
2019/07/01,C,78336.00,19584
2019/07/01,C,78681.00,19670.25
2019/07/01,C,78528.00,19632
2019/07/01,C,78028.00,19507
2019/07/01,C,77568.00,19392
2019/07/01,C,77606.00,19401.5
2019/07/01,C,77414.00,19353.5
2019/07/01,C,77222.00,19305.5
2019/07/01,C,77030.00,19257.5
2019/07/01,C,76608.00,19152
2019/07/01,C,76800.00,19200
2019/07/01,C,77184.00,19296
2019/07/01,C,77568.00,19392
2019/07/01,C,77452.00,19363
2019/07/01,C,77068.00,19267
2019/07/01,C,76761.00,19190.25
2019/07/01,C,77299.00,19324.75
2019/07/01,C,77337.00,19334.25
2019/07/01,C,77376.00,19344
2019/07/01,C,77568.00,19392
2019/07/01,C,77414.00,19353.5
2019/07/01,B,77299.00,19324.75
2019/07/01,B,77107.00,19276.75
2019/07/01,B,77452.00,19363
2019/07/01,B,77491.00,19372.75
2019/07/01,B,78105.00,19526.25
2019/07/01,B,78451.00,19612.75
2019/07/01,B,78144.00,19536
2019/07/01,B,78105.00,19526.25
2019/07/01,B,78144.00,19536
2019/07/01,B,77875.00,19468.75
2019/07/01,A,77952.00,19488
2019/07/01,A,78374.00,19593.5
2019/07/01,A,78297.00,19574.25
2019/07/01,A,78873.00,19718.25
2019/07/01,A,78988.00,19747
2019/07/01,A,78528.00,19632
2019/07/01,A,77952.00,19488
2019/07/01,A,77990.00,19497.5
2019/07/01,B,78220.00,19555
2019/07/01,B,78796.00,19699
2019/07/01,B,78297.00,19574.25
2019/07/01,B,78259.00,19564.75
2019/07/01,A,78336.00,19584
2019/07/01,A,78374.00,19593.5
2019/07/01,A,79142.00,19785.5
2019/07/01,A,78988.00,19747
2019/07/01,A,79065.00,19766.25
2019/07/01,A,78336.00,19584
2019/07/01,A,78067.00,19516.75
2019/07/01,A,78182.00,19545.5
2019/07/01,A,77952.00,19488
2019/07/01,A,78105.00,19526.25
2019/07/01,A,78297.00,19574.25
2019/07/01,A,78566.00,19641.5
2019/07/01,A,77529.00,19382.25
2019/07/01,A,76992.00,19248
2019/07/01,A,77184.00,19296
2019/07/01,A,77145.00,19286.25
2019/07/01,B,77452.00,19363
2019/07/01,B,77568.00,19392
2019/07/01,B,77260.00,19315
2019/07/01,B,77222.00,19305.5
2019/07/01,B,77260.00,19315
2019/07/01,B,77836.00,19459
2019/07/01,B,78067.00,19516.75
2019/07/01,B,78067.00,19516.75
2019/07/01,B,78105.00,19526.25
2019/07/01,B,78681.00,19670.25
2019/07/01,B,78412.00,19603
2019/07/01,B,78643.00,19660.75
2019/07/01,B,78374.00,19593.5
2019/07/01,B,78144.00,19536
2019/07/01,B,77760.00,19440
2019/07/01,B,78336.00,19584
2019/07/01,B,78489.00,19622.25
2019/07/01,B,78336.00,19584
2019/07/01,B,78451.00,19612.75
2019/07/01,B,78796.00,19699
2019/07/01,B,78566.00,19641.5
2019/07/01,B,78451.00,19612.75
2019/07/01,C,78374.00,19593.5
2019/07/01,C,78182.00,19545.5
2019/07/01,C,77836.00,19459
2019/07/01,C,77184.00,19296
2019/07/01,C,77145.00,19286.25
2019/07/02,C,77529.00,19382.25
2019/07/02,C,77452.00,19363
2019/07/02,C,77798.00,19449.5
2019/07/02,C,77990.00,19497.5
2019/07/02,C,78374.00,19593.5
2019/07/02,C,78681.00,19670.25
2019/07/02,C,78220.00,19555
2019/07/02,C,78489.00,19622.25
2019/07/02,C,78182.00,19545.5
2019/07/02,C,77606.00,19401.5
2019/07/02,C,77491.00,19372.75
2019/07/02,C,77337.00,19334.25
2019/07/02,C,77068.00,19267
2019/07/02,C,77529.00,19382.25
2019/07/02,C,77337.00,19334.25
2019/07/02,C,77606.00,19401.5
2019/07/02,C,77683.00,19420.75
2019/07/02,C,77798.00,19449.5
2019/07/02,C,77491.00,19372.75
2019/07/02,C,77568.00,19392
2019/07/02,C,77376.00,19344
2019/07/02,C,77414.00,19353.5
2019/07/02,C,77107.00,19276.75
2019/07/02,C,76224.00,19056
2019/07/02,C,76454.00,19113.5
2019/07/02,C,76531.00,19132.75
2019/07/02,C,76339.00,19084.75
2019/07/02,C,77145.00,19286.25
2019/07/02,C,77184.00,19296
2019/07/02,C,77184.00,19296
2019/07/02,C,76953.00,19238.25
2019/07/02,B,76761.00,19190.25
2019/07/02,B,76992.00,19248
2019/07/02,B,76646.00,19161.5
2019/07/02,B,76262.00,19065.5
2019/07/02,B,76569.00,19142.25
2019/07/02,B,77068.00,19267
2019/07/02,B,76953.00,19238.25
2019/07/02,B,77491.00,19372.75
2019/07/02,B,77644.00,19411
2019/07/02,B,77798.00,19449.5
2019/07/02,A,77491.00,19372.75
2019/07/02,A,77337.00,19334.25
2019/07/02,A,76262.00,19065.5
2019/07/02,A,76723.00,19180.75
2019/07/02,A,76684.00,19171
2019/07/02,A,76569.00,19142.25
2019/07/02,A,76377.00,19094.25
2019/07/02,A,76416.00,19104
2019/07/02,B,76992.00,19248
2019/07/02,B,77107.00,19276.75
2019/07/02,B,77606.00,19401.5
2019/07/02,B,77222.00,19305.5
2019/07/02,A,77836.00,19459
2019/07/02,A,78067.00,19516.75
2019/07/02,A,78336.00,19584
2019/07/02,A,78067.00,19516.75
2019/07/02,A,76992.00,19248
2019/07/02,A,76377.00,19094.25
2019/07/02,A,76838.00,19209.5
2019/07/02,A,76070.00,19017.5
2019/07/02,A,75724.00,18931
2019/07/02,A,76032.00,19008
2019/07/02,A,76723.00,19180.75
2019/07/02,A,77222.00,19305.5
2019/07/02,A,77836.00,19459
2019/07/02,A,77913.00,19478.25
2019/07/02,A,77913.00,19478.25
2019/07/02,A,77529.00,19382.25
2019/07/02,B,77376.00,19344
2019/07/02,B,77491.00,19372.75
2019/07/02,B,77376.00,19344
2019/07/02,B,76876.00,19219
2019/07/02,B,76838.00,19209.5
2019/07/02,B,76531.00,19132.75
2019/07/02,B,76262.00,19065.5
2019/07/02,B,76684.00,19171
2019/07/02,B,76761.00,19190.25
2019/07/02,B,76684.00,19171
2019/07/02,B,76492.00,19123
2019/07/02,B,76992.00,19248
2019/07/02,B,77145.00,19286.25
2019/07/02,B,77222.00,19305.5
2019/07/02,B,76608.00,19152
2019/07/02,B,76992.00,19248
2019/07/02,B,77184.00,19296
2019/07/02,B,77184.00,19296
2019/07/02,B,77721.00,19430.25
2019/07/02,B,77414.00,19353.5
2019/07/02,B,77644.00,19411
2019/07/02,B,77184.00,19296
2019/07/02,C,77107.00,19276.75
2019/07/02,C,77260.00,19315
2019/07/02,C,77222.00,19305.5
2019/07/02,C,77030.00,19257.5
2019/07/02,C,77107.00,19276.75
2019/07/03,C,76569.00,19142.25
2019/07/03,C,77068.00,19267
2019/07/03,C,76800.00,19200
2019/07/03,C,76723.00,19180.75
2019/07/03,C,76723.00,19180.75
2019/07/03,C,77068.00,19267
2019/07/03,C,77145.00,19286.25
2019/07/03,C,76838.00,19209.5
2019/07/03,C,76569.00,19142.25
2019/07/03,C,76608.00,19152
2019/07/03,C,76838.00,19209.5
2019/07/03,C,77491.00,19372.75
2019/07/03,C,77644.00,19411
2019/07/03,C,77568.00,19392
2019/07/03,C,77644.00,19411
2019/07/03,C,77222.00,19305.5
2019/07/03,C,77529.00,19382.25
2019/07/03,C,77145.00,19286.25
2019/07/03,C,76876.00,19219
2019/07/03,C,76492.00,19123
2019/07/03,C,75801.00,18950.25
2019/07/03,C,75302.00,18825.5
2019/07/03,C,75110.00,18777.5
2019/07/03,C,76147.00,19036.75
2019/07/03,C,76108.00,19027
2019/07/03,C,76300.00,19075
2019/07/03,C,76339.00,19084.75
2019/07/03,C,76377.00,19094.25
2019/07/03,C,76416.00,19104
2019/07/03,C,76838.00,19209.5
2019/07/03,C,77107.00,19276.75
2019/07/03,B,76876.00,19219
2019/07/03,B,76531.00,19132.75
2019/07/03,B,76876.00,19219
2019/07/03,B,76876.00,19219
2019/07/03,B,76915.00,19228.75
2019/07/03,B,76953.00,19238.25
2019/07/03,B,76838.00,19209.5
2019/07/03,B,77184.00,19296
2019/07/03,B,77337.00,19334.25
2019/07/03,B,76492.00,19123
2019/07/03,A,77068.00,19267
2019/07/03,A,77299.00,19324.75
2019/07/03,A,77222.00,19305.5
2019/07/03,A,77222.00,19305.5
2019/07/03,A,78144.00,19536
2019/07/03,A,76454.00,19113.5
2019/07/03,A,75648.00,18912
2019/07/03,A,75955.00,18988.75
2019/07/03,B,76108.00,19027
2019/07/03,B,75340.00,18835
2019/07/03,B,74688.00,18672
2019/07/03,B,75417.00,18854.25
2019/07/03,A,76723.00,19180.75
2019/07/03,A,77068.00,19267
2019/07/03,A,76300.00,19075
2019/07/03,A,76262.00,19065.5
2019/07/03,A,76608.00,19152
2019/07/03,A,76531.00,19132.75
2019/07/03,A,75571.00,18892.75
2019/07/03,A,75763.00,18940.75
2019/07/03,A,75686.00,18921.5
2019/07/03,A,75532.00,18883
2019/07/03,A,76377.00,19094.25
2019/07/03,A,76300.00,19075
2019/07/03,A,75110.00,18777.5
2019/07/03,A,75916.00,18979
2019/07/03,A,76224.00,19056
