month,w1,w2,w3,w4,max,total
1,72368.15248082935,0,0,745.4116672464033,73067.91132497787,
2,71627.90980543208,0,0,0,0,
3,71627.90980543208,0,0,0,0,
4,71627.90980543208,0,0,0,0,
5,71627.90980543208,0,0,0,0,
6,71627.90980543208,0,0,0,0,
7,73884.88262996629,0,0,0,81331.0,
8,73884.88262996629,0,0,0,80448.0,
9,73874.80740189271,0,0,0,78336.0,
10,73860.46413790538,0,0,0,74304.0,
11,72759.32618112762,0,0,0,72768.0,
12,72759.32618112762,0,0,0,71308.0,
13,72759.32618112762,0,0,0,71116.0,
14,72753.53102547867,0,0,0,72729.0,
15,72753.53102547867,0,0,0,72921.0,
16,72753.53102547867,0,0,0,72076.0,
17,72747.31699112938,0,0,0,75225.0,
18,72747.31699112938,0,0,0,75456.0,
19,70000,0,0,0,0,
20,70000,0,0,0,0,
21,70000,0,0,0,0,
22,70000,0,0,0,0,
23,70000,0,0,0,0,
24,70000,0,0,0,0,343169918.8196931
