DateTime,Type,kW_del,kWh
2019/7/1,C,78988,19747
2019/7/1,C,78720,19680
2019/7/1,C,78528,19632
2019/7/1,C,78374,19593.5
2019/7/1,C,78796,19699
2019/7/1,C,78528,19632
2019/7/1,C,78451,19612.75
2019/7/1,C,78566,19641.5
2019/7/1,C,78028,19507
2019/7/1,C,78566,19641.5
2019/7/1,C,78336,19584
2019/7/1,C,78681,19670.25
2019/7/1,C,78528,19632
2019/7/1,C,78028,19507
2019/7/1,C,77568,19392
2019/7/1,C,77606,19401.5
2019/7/1,C,77414,19353.5
2019/7/1,C,77222,19305.5
2019/7/1,C,77030,19257.5
2019/7/1,C,76608,19152
2019/7/1,C,76800,19200
2019/7/1,C,77184,19296
2019/7/1,C,77568,19392
2019/7/1,C,77452,19363
2019/7/1,C,77068,19267
2019/7/1,C,76761,19190.25
2019/7/1,C,77299,19324.75
2019/7/1,C,77337,19334.25
2019/7/1,C,77376,19344
2019/7/1,C,77568,19392
2019/7/1,C,77414,19353.5
2019/7/1,B,77299,19324.75
2019/7/1,B,77107,19276.75
2019/7/1,B,77452,19363
2019/7/1,B,77491,19372.75
2019/7/1,B,78105,19526.25
2019/7/1,B,78451,19612.75
2019/7/1,B,78144,19536
2019/7/1,B,78105,19526.25
2019/7/1,B,78144,19536
2019/7/1,B,77875,19468.75
2019/7/1,A,77952,19488
2019/7/1,A,78374,19593.5
2019/7/1,A,78297,19574.25
2019/7/1,A,78873,19718.25
2019/7/1,A,78988,19747
2019/7/1,A,78528,19632
2019/7/1,A,77952,19488
2019/7/1,A,77990,19497.5
2019/7/1,B,78220,19555
2019/7/1,B,78796,19699
2019/7/1,B,78297,19574.25
2019/7/1,B,78259,19564.75
2019/7/1,A,78336,19584
2019/7/1,A,78374,19593.5
2019/7/1,A,79142,19785.5
2019/7/1,A,78988,19747
2019/7/1,A,79065,19766.25
2019/7/1,A,78336,19584
2019/7/1,A,78067,19516.75
2019/7/1,A,78182,19545.5
2019/7/1,A,77952,19488
2019/7/1,A,78105,19526.25
2019/7/1,A,78297,19574.25
2019/7/1,A,78566,19641.5
2019/7/1,A,77529,19382.25
2019/7/1,A,76992,19248
2019/7/1,A,77184,19296
2019/7/1,A,77145,19286.25
2019/7/1,B,77452,19363
2019/7/1,B,77568,19392
2019/7/1,B,77260,19315
2019/7/1,B,77222,19305.5
2019/7/1,B,77260,19315
2019/7/1,B,77836,19459
2019/7/1,B,78067,19516.75
2019/7/1,B,78067,19516.75
2019/7/1,B,78105,19526.25
2019/7/1,B,78681,19670.25
2019/7/1,B,78412,19603
2019/7/1,B,78643,19660.75
2019/7/1,B,78374,19593.5
2019/7/1,B,78144,19536
2019/7/1,B,77760,19440
2019/7/1,B,78336,19584
2019/7/1,B,78489,19622.25
2019/7/1,B,78336,19584
2019/7/1,B,78451,19612.75
2019/7/1,B,78796,19699
2019/7/1,B,78566,19641.5
2019/7/1,B,78451,19612.75
2019/7/1,C,78374,19593.5
2019/7/1,C,78182,19545.5
2019/7/1,C,77836,19459
2019/7/1,C,77184,19296
2019/7/1,C,77145,19286.25
2019/7/2,C,77529,19382.25
2019/7/2,C,77452,19363
2019/7/2,C,77798,19449.5
2019/7/2,C,77990,19497.5
2019/7/2,C,78374,19593.5
2019/7/2,C,78681,19670.25
2019/7/2,C,78220,19555
2019/7/2,C,78489,19622.25
2019/7/2,C,78182,19545.5
2019/7/2,C,77606,19401.5
2019/7/2,C,77491,19372.75
2019/7/2,C,77337,19334.25
2019/7/2,C,77068,19267
2019/7/2,C,77529,19382.25
2019/7/2,C,77337,19334.25
2019/7/2,C,77606,19401.5
2019/7/2,C,77683,19420.75
2019/7/2,C,77798,19449.5
2019/7/2,C,77491,19372.75
2019/7/2,C,77568,19392
2019/7/2,C,77376,19344
2019/7/2,C,77414,19353.5
2019/7/2,C,77107,19276.75
2019/7/2,C,76224,19056
2019/7/2,C,76454,19113.5
2019/7/2,C,76531,19132.75
2019/7/2,C,76339,19084.75
2019/7/2,C,77145,19286.25
2019/7/2,C,77184,19296
2019/7/2,C,77184,19296
2019/7/2,C,76953,19238.25
2019/7/2,B,76761,19190.25
2019/7/2,B,76992,19248
2019/7/2,B,76646,19161.5
2019/7/2,B,76262,19065.5
2019/7/2,B,76569,19142.25
2019/7/2,B,77068,19267
2019/7/2,B,76953,19238.25
2019/7/2,B,77491,19372.75
2019/7/2,B,77644,19411
2019/7/2,B,77798,19449.5
2019/7/2,A,77491,19372.75
2019/7/2,A,77337,19334.25
2019/7/2,A,76262,19065.5
2019/7/2,A,76723,19180.75
2019/7/2,A,76684,19171
2019/7/2,A,76569,19142.25
2019/7/2,A,76377,19094.25
2019/7/2,A,76416,19104
2019/7/2,B,76992,19248
2019/7/2,B,77107,19276.75
2019/7/2,B,77606,19401.5
2019/7/2,B,77222,19305.5
2019/7/2,A,77836,19459
2019/7/2,A,78067,19516.75
2019/7/2,A,78336,19584
2019/7/2,A,78067,19516.75
2019/7/2,A,76992,19248
2019/7/2,A,76377,19094.25
2019/7/2,A,76838,19209.5
