month,w1,w2,w3,w4,max,total
1,83559.4488174237,0,874.4102511890544,0,83563.281058646,
2,83559.4488174237,0,874.4102511890544,0,83763.88989619199,
3,83559.4488174237,0,874.4102511890544,0,84072.248621568,
4,80733.86226740966,0,0,0,85617.691326144,
5,80702.77501992969,0,0,0,80386.790025408,
6,80702.77501992969,0,0,0,79437.432386844,
7,80702.77501992969,0,0,0,80181.87827628401,
8,80742.70798832903,0,0,0,83564.532101412,
9,80778.81325499975,0,0,0,81651.578950419,
10,80778.81325499975,0,0,0,81067.36200252401,
11,80648.9857709753,0,0,0,86069.64467415,
12,80371.389966902,0,0,0,83465.242938432,
13,80274.48517545297,0,0,0,81331.0,
14,80274.48517545297,0,0,0,80448.0,
15,78776.35168684635,0,0,0,78336.0,
16,73842.27367288852,0,0,0,74304.0,
17,72299.57828189824,0,0,0,72768.0,
18,71204.26869740045,0,0,0,71308.0,
19,71204.26869740045,0,0,0,71116.0,
20,71209.53761396019,0,0,0,72729.0,
21,71209.53761396019,0,0,0,72921.0,
22,71209.53761396019,0,0,0,72076.0,
23,71206.92493241839,0,0,0,75225.0,
24,71206.92493241839,0,0,0,75456.0,388156846.41763395
