month,w1,w2,w3,w4,max,total
1,80024.0665887184,0,0,689.7772363299849,81331,
2,80024.0665887184,0,0,689.7772363299849,80448,
3,78287.13148246081,0,0,0,78336,
4,74034.8072621041,0,0,0,74304,
5,74034.8072621041,0,0,0,72768,
6,74034.8072621041,0,0,0,71308,
7,74034.8072621041,0,0,0,71116,
8,74034.8072621041,0,0,0,72729,
9,74034.8072621041,0,0,0,72921,
10,74034.8072621041,0,0,0,72076,
11,74054.82666925306,0,0,0,75225,
12,74054.82666925306,0,0,0,75456,
13,74072.84575624576,0,0,0,81331,
14,74072.84575624576,0,0,0,80448,
15,74053.17691707615,0,0,0,78336,
16,72701.51907071703,0,0,0,74304,
17,72701.51907071703,0,0,0,72768,
18,72701.51907071703,0,0,0,71308,
19,72701.51907071703,0,0,0,71116,
20,72685.13228328989,0,0,0,72729,
21,72685.13228328989,0,0,0,72921,
22,72685.13228328989,0,0,0,72076,
23,72698.30420858486,0,0,658.3460408040901,75225,
24,72698.30420858486,0,0,658.3460408040901,75456,372872055.2795855
