DateTime,Type,kW_del,kWh
2020/7/1,C,81155.973051608,20288.993262902
2020/7/1,C,80880.61729152,20220.15432288
2020/7/1,C,80683.347493248,20170.836873312
2020/7/1,C,80525.120675884,20131.280168971
2020/7/1,C,80958.703253336,20239.675813334
2020/7/1,C,80683.347493248,20170.836873312
2020/7/1,C,80604.23408456601,20151.058521141502
2020/7/1,C,80722.390474156,20180.597618539
2020/7/1,C,80169.624060248,20042.406015062
2020/7/1,C,80722.390474156,20180.597618539
2020/7/1,C,80486.077694976,20121.519423744
2020/7/1,C,80840.546863746,20210.1367159365
2020/7/1,C,80683.347493248,20170.836873312
2020/7/1,C,80169.624060248,20042.406015062
2020/7/1,C,79696.998501888,19924.249625472
2020/7/1,C,79736.041482796,19934.010370699
2020/7/1,C,79538.771684524,19884.692921131
2020/7/1,C,79341.50188625201,19835.375471563002
2020/7/1,C,79144.23208798,19786.058021995
2020/7/1,C,78710.649510528,19677.662377632
2020/7/1,C,78907.9193088,19726.9798272
2020/7/1,C,79302.458905344,19825.614726336
2020/7/1,C,79696.998501888,19924.249625472
2020/7/1,C,79577.814665432,19894.453666358
2020/7/1,C,79183.275068888,19795.818767222
2020/7/1,C,78867.848881026,19716.9622202565
2020/7/1,C,79420.615294934,19855.1538237335
2020/7/1,C,79459.658275842,19864.9145689605
2020/7/1,C,79499.728703616,19874.932175904
2020/7/1,C,79696.998501888,19924.249625472
2020/7/1,C,79538.771684524,19884.692921131
2020/7/1,B,79420.615294934,19855.1538237335
2020/7/1,B,79223.345496662,19805.8363741655
2020/7/1,B,79577.814665432,19894.453666358
2020/7/1,B,79617.885093206,19904.4712733015
2020/7/1,B,80248.73746893,20062.1843672325
2020/7/1,B,80604.23408456601,20151.058521141502
2020/7/1,B,80288.807896704,20072.201974176
2020/7/1,B,80248.73746893,20062.1843672325
2020/7/1,B,80288.807896704,20072.201974176
2020/7/1,B,80012.42468975,20003.1061724375
2020/7/1,A,80091.538098432,20022.884524608
2020/7/1,A,80525.120675884,20131.280168971
2020/7/1,A,80446.007267202,20111.5018168005
2020/7/1,A,81037.816662018,20259.4541655045
2020/7/1,A,81155.973051608,20288.993262902
2020/7/1,A,80683.347493248,20170.836873312
2020/7/1,A,80091.538098432,20022.884524608
2020/7/1,A,80130.58107934,20032.645269835
2020/7/1,B,80366.89385852,20091.72346463
2020/7/1,B,80958.703253336,20239.675813334
2020/7/1,B,80446.007267202,20111.5018168005
2020/7/1,B,80406.964286294,20101.7410715735
2020/7/1,A,80486.077694976,20121.519423744
2020/7/1,A,80525.120675884,20131.280168971
2020/7/1,A,81314.199868972,20328.549967243
2020/7/1,A,81155.973051608,20288.993262902
2020/7/1,A,81235.08646029,20308.7716150725
2020/7/1,A,80486.077694976,20121.519423744
2020/7/1,A,80209.694488022,20052.4236220055
2020/7/1,A,80327.850877612,20081.962719403
2020/7/1,A,80091.538098432,20022.884524608
2020/7/1,A,80248.73746893,20062.1843672325
2020/7/1,A,80446.007267202,20111.5018168005
2020/7/1,A,80722.390474156,20180.597618539
2020/7/1,A,79656.928074114,19914.2320185285
2020/7/1,A,79105.189107072,19776.297276768
2020/7/1,A,79302.458905344,19825.614726336
2020/7/1,A,79262.38847757,19815.5971193925
2020/7/1,B,79577.814665432,19894.453666358
2020/7/1,B,79696.998501888,19924.249625472
2020/7/1,B,79380.54486716,19845.13621679
2020/7/1,B,79341.50188625201,19835.375471563002
2020/7/1,B,79380.54486716,19845.13621679
2020/7/1,B,79972.354261976,19993.088565494
2020/7/1,B,80209.694488022,20052.4236220055
2020/7/1,B,80209.694488022,20052.4236220055
2020/7/1,B,80248.73746893,20062.1843672325
2020/7/1,B,80840.546863746,20210.1367159365
2020/7/1,B,80564.163656792,20141.040914198
2020/7/1,B,80801.503882838,20200.3759707095
2020/7/1,B,80525.120675884,20131.280168971
2020/7/1,B,80288.807896704,20072.201974176
2020/7/1,B,79894.26830016,19973.56707504
2020/7/1,B,80486.077694976,20121.519423744
2020/7/1,B,80643.277065474,20160.8192663685
2020/7/1,B,80486.077694976,20121.519423744
2020/7/1,B,80604.23408456601,20151.058521141502
2020/7/1,B,80958.703253336,20239.675813334
2020/7/1,B,80722.390474156,20180.597618539
2020/7/1,B,80604.23408456601,20151.058521141502
2020/7/1,C,80525.120675884,20131.280168971
2020/7/1,C,80327.850877612,20081.962719403
2020/7/1,C,79972.354261976,19993.088565494
2020/7/1,C,79302.458905344,19825.614726336
2020/7/1,C,79262.38847757,19815.5971193925
2020/7/2,C,79656.928074114,19914.2320185285
2020/7/2,C,79577.814665432,19894.453666358
2020/7/2,C,79933.311281068,19983.327820267
2020/7/2,C,80130.58107934,20032.645269835
2020/7/2,C,80525.120675884,20131.280168971
2020/7/2,C,80840.546863746,20210.1367159365
2020/7/2,C,80366.89385852,20091.72346463
2020/7/2,C,80643.277065474,20160.8192663685
2020/7/2,C,80327.850877612,20081.962719403
2020/7/2,C,79736.041482796,19934.010370699
2020/7/2,C,79617.885093206,19904.4712733015
2020/7/2,C,79459.658275842,19864.9145689605
2020/7/2,C,79183.275068888,19795.818767222
2020/7/2,C,79656.928074114,19914.2320185285
2020/7/2,C,79459.658275842,19864.9145689605
