month,basic,over,setup,sparesetup,maintain,sparemaintain,subsidy,total
1,20489064.83,0,0,0,,,,
2,20489064.83,0,0,0,,,,
3,20489064.83,77260.70208,0,0,,,,
4,15142861.54,627533.7114,0,0,,,,
5,14733720.23,0,0,0,,,,
6,14733720.23,0,0,0,,,,
7,14733720.23,0,0,0,,,,
8,14748537.16,356183.9769,85956.32096,12893.44814,43223.74997,6483.562495,,
9,14748537.16,21594.25327,0,0,,,,
10,14748537.16,0,0,0,,,,
11,14746717.67,1303758.894,0,0,,,,
12,19934373.54,918943.5718,0,0,,,,203092901.8
13,19749397.11,298720.3691,0,0,,,,
14,19749397.11,0,0,0,,,,
15,19160955.2,12361.08278,0,0,,,,
16,13159934.41,512523.9276,0,0,,,,
17,13159934.41,19160.72756,0,0,,,,
18,13159934.41,0,0,0,,,,
19,13159934.41,0,0,0,,,,
20,13159934.41,2682.899098,0,0,,,,
21,13159934.41,39035.42756,0,0,,,,
22,13159934.41,0,0,0,,,,
23,13161478.93,655325.186,8960.114202,1344.01713,27033.94456,4055.091685,,
24,17808153,1209356.409,0,0,,,60011.4438,387601294.2
month,basic,over,setup,sparesetup,maintain,sparemaintain,subsidy,total
1,20465061.3,0,0,0,,,,
2,20465061.3,0,0,0,,,,
3,20465061.3,124484.2192,0,0,,,,
4,15125121.24,659016.0561,0,0,,,,
5,14710831.11,0,0,0,,,,
6,14710831.11,0,0,0,,,,
7,14710831.11,0,0,0,,,,
8,14711438.06,448646.7014,3521.070834,528.1606251,1770.595619,265.5893429,,
9,14711438.06,86459.22923,0,0,,,,
10,14711438.06,0,0,0,,,,
11,14718379.21,1354048.96,40267.20437,6040.080656,40497.30268,6074.595403,,
12,19914947.68,953417.155,982.2751287,147.3412693,1152.536151,172.8804226,,203095984.9
13,19693512.39,397894.6748,0,0,,,,
14,19693512.39,4227.242153,0,0,,,,
15,19130681.97,28418.81522,0,0,,,,
16,13169584.19,495399.2174,0,0,,,,
17,13169584.19,2036.017418,0,0,,,,
18,13169584.19,0,0,0,,,,
19,13169584.19,0,0,0,,,,
20,13169584.19,0,0,0,,,,
21,13169584.19,21910.71742,0,0,,,,
22,13169584.19,0,0,0,,,,
23,13163208.69,652255.5224,0,0,,,,
24,17810493.45,1205202.997,0,0,,,49473.08639,387581828.3
month,basic,over,setup,sparesetup,maintain,sparemaintain,subsidy,total
1,20465738.98,0,0,0,,,,
2,20465738.98,0,0,0,,,,
3,20465738.98,123150.9819,0,0,,,,
4,15125622.09,658127.2313,0,0,,,,
5,14689346.88,0,0,0,,,,
6,14689346.88,0,0,0,,,,
7,14689346.88,0,0,0,,,,
8,14706610.53,460678.448,100150.3279,15022.54918,50361.30774,7554.196161,,
9,14706610.53,95026.28092,0,0,,,,
10,14706610.53,0,0,0,,,,
11,14705787.05,1376395.302,0,0,,,,
12,19896691.33,985815.2804,0,0,,,,203070298.7
13,19696849.5,391972.5571,0,0,,,,
14,19696849.5,2457.147597,0,0,,,,
15,19123871.87,37514.58599,0,0,,,,
16,13166467.35,500930.4318,0,0,,,,
17,13166467.35,7567.231758,0,0,,,,
18,13166467.35,0,0,0,,,,
19,13166467.35,0,0,0,,,,
20,13166467.35,0,0,0,,,,
21,13166467.35,27441.93176,0,0,,,,
22,13166467.35,0,0,0,,,,
23,13166749.87,645971.2569,1638.990066,245.8485099,4945.067171,741.7600756,,
24,17815284.85,1196700.065,0,0,,,59800.34248,387547615.7
month,basic,over,setup,sparesetup,maintain,sparemaintain,subsidy,total
1,20461171.21,5739.101937,0,0,,,,
