,0
0,-2.2719831106567385
1,-3.358558789885148
2,-4.374404439670922
3,-6.3338649898335015
4,-8.076631671466284
5,-9.577497620316022
6,-10.811255972128931
7,-11.752699862651255
8,-12.376622427629243
9,-12.657816802809135
10,-12.571510372246209
11,-12.095543735428484
12,-11.213525357367587
13,-9.919176727860938
14,-8.21773380019624
15,-6.125392801442277
16,-3.6650490285052264
17,-0.86283422836727
18,2.251864388981809
19,5.636031528367247
20,9.220238819357332
21,12.900970711835548
22,16.54948799588383
23,20.02596841270206
24,23.198361586932254
25,25.963728960050616
26,28.267491312981107
27,30.10790224681121
28,31.519576757129347
29,32.552598922750754
30,33.248077674610805
31,33.62036021542175
32,33.6435438096286
33,33.26001877149135
34,32.39710143730837
35,30.989396594534472
36,28.991713240516987
37,26.386373993602124
38,23.18313494813569
39,19.418817828495364
40,15.157497725729016
41,10.485100995143895
42,5.50001727246423
43,0.3039155986916929
44,-4.999957291751592
45,-10.300827644877439
46,-15.47511162127079
47,-20.390007288674024
48,-24.918572443760198
49,-28.95327902721884
50,-32.407936583643945
51,-35.212163184857936
52,-37.30609705739739
53,-38.64071497884576
54,-39.18996883957437
55,-38.96638418350855
56,-38.03132192331827
57,-36.48291670124099
58,-34.43762175455575
59,-32.01539757912299
60,-29.336330587049346
61,-26.52050719044139
62,-23.68801380140572
63,-20.955894187256217
64,-18.422882115789466
65,-16.150928722729585
66,-14.15297707952862
67,-12.405187625566137
68,-10.865410800704462
69,-9.488454400013161
70,-8.229126218561795
71,-7.042234051419922
72,-5.882585693657056
73,-4.705942261008888
74,-3.4737394505727344
75,-2.1584821636196274
76,-0.7467923111786116
77,0.7651613003502281
78,2.3775243070377137
79,4.090838263039554
80,5.90619202799522
81,7.825162517591355
82,9.850908116890963
83,11.98436276091274
84,14.210996356990334
85,16.48407458167365
86,18.718002539840004
87,20.799245939701706
88,22.601770452297444
89,23.996868813074258
90,24.854521466295395
91,25.049162879783704
92,24.487522122269933
93,23.14173810620478
94,21.069950838892208
95,18.39427861564674
96,15.268253676029573
97,11.850592319044914
98,8.300010843697033
99,4.773452484674054
100,1.4159077995469804
101,-1.6567865904452603
102,-4.372860091005021
103,-6.7026380267448955
104,-8.642622824649077
105,-10.198809280040853
106,-11.378474935420341
107,-12.188897333287665
108,-12.63724246266794
109,-12.730048054684259
110,-12.472789654258804
111,-11.869857156357723
112,-10.926160558525902
113,-9.651841554784143
114,-8.069467650501702
115,-6.222017551533502
116,-4.180293521700478
117,-2.048254385860582
118,0.03525138156196972
119,1.9073174926657117
120,3.4006734415709903
121,4.372204625211435
122,4.725002090354809
123,4.43072517562528
124,3.546877172436806
125,2.2310726966943832
126,0.7304921335471941
127,-0.6702244433122071
128,-1.7286623137978145
129,-2.3085930895564775
130,-2.387980717254306
131,-2.0240466289920853
132,-1.3166225588878497
133,-0.39226061460731704
134,0.5981918692511151
135,1.4837011314494557
136,2.0879100856907815
137,2.268680164423786
138,1.9618023021379283
139,1.2082415336599521
140,0.12831611958276765
141,-1.115920258698196
142,-2.3491399380936477
143,-3.387056675832275
144,-4.050187717948814
145,-4.201429005555841
146,-3.7859722689038264
147,-2.8448904163883317
148,-1.4880886327879324
149,0.1435479412173387
150,1.9043354180356564
151,3.6502751714938455
152,5.238406093576879
153,6.532218833593657
154,7.42701943170589
155,7.8811984999366365
156,7.936136614699026
157,7.697649900771495
158,7.301546399981462
159,6.862530533982453
160,6.436343386423592
161,5.998848070561458
162,5.4727084283736955
163,4.76247606794501
164,3.789196212993493
165,2.5266029583011087
166,1.0379922811032447
167,-0.5327616776354394
168,-2.0395616527944145
169,-3.4154087834781315
170,-4.678983445045017
171,-5.883451985286978
172,-7.0633360656975706
173,-8.219900185682233
174,-9.331315092722347
175,-10.36834185678814
176,-11.301604388374725
177,-12.09813490950871
178,-12.71356932847784
179,-13.09178479828421
180,-13.16652133069937
181,-12.865282148618206
182,-12.116090046728774
183,-10.862754369940603
184,-9.09165507656338
185,-6.851551040721691
186,-4.257265744880586
187,-1.4673351807133441
188,1.3400778845651244
189,3.987627960910474
190,6.322256698561314
191,8.241977505521689
192,9.715120486759
193,10.766682165476182
194,11.45106640647886
195,11.826580678680491
196,11.94538257574372
197,11.848970524576252
198,11.566390817271463
199,11.114630721487314
200,10.503215775060115
201,9.738375352898204
202,8.826147065912837
203,7.772918583639092
204,6.586152977765825
205,5.277991828393613
206,3.8696590247514835
207,2.394546108728639
208,0.8952435666941047
209,-0.5810183413309824
210,-1.9855661644215654
211,-3.2661538003666393
212,-4.365373363233682
213,-5.222843685914801
214,-5.785994763578547
215,-6.019430588552292
216,-5.909615622044129
217,-5.461841805103582
218,-4.702199683288282
219,-3.6833265764010705
220,-2.489864861404199
221,-1.2337939837944598
222,-0.04492678805115687
223,0.9411477424626803
224,1.6050212031065276
225,1.8733304866052063
226,1.7492540566344994
227,1.3201211972461493
228,0.7437825328684804
229,0.21244923210462618
230,-0.1176413676985237
231,-0.19375824755573864
232,-0.10081663611630713
233,0.006732633919921335
234,-0.003230562240705515
235,-0.17018272894902955
236,-0.4567701361018759
237,-0.7881505273647432
238,-1.0860186817983584
239,-1.277549538237052
240,-1.3013687759733974
241,-1.1130033847091778
242,-0.6884466267691352
243,-0.021136386804510836
244,0.8810865223315574
245,2.0000077555895146
246,3.3127387908601107
247,4.796133846210329
248,6.418810116841911
249,8.119175759579173
250,9.784309514246619
251,11.247921475561155
252,12.308401206635592
253,12.747711247166661
254,12.3431257266728
255,10.893068893694101
256,8.288921163702662
257,4.594072609626046
258,0.07526643432330449
259,-4.864275107028814
260,-9.802289265577214
261,-14.4068130952014
262,-18.4874195981823
263,-21.97428737589355
264,-24.87142911252845
265,-27.219290696221858
266,-29.088309069419655
267,-30.572474450116527
268,-31.767693184264918
269,-32.75017911174879
270,-33.57464397969139
271,-34.2934680471744
272,-34.97293738319093
273,-35.691120854113365
274,-36.51483369372273
275,-37.46262009923526
276,-38.475698561778074
277,-39.42101123202576
278,-40.163551557297374
279,-40.65307697165687
280,-40.97473153861864
281,-41.27522651889623
282,-41.65580085851627
283,-42.08973400881345
284,-42.458574895091104
285,-42.623898646937754
286,-42.48937718235926
287,-42.004298368277375
288,-41.14540976160597
289,-39.89817397768983
290,-38.24540572526422
291,-36.158839453113735
292,-33.58629850388178
293,-30.45190635276104
294,-26.679510231712147
295,-22.25337926014804
296,-17.264722332183652
297,-11.916700172791286
298,-6.4656467595764875
299,-1.1339214461128098
300,3.9634554287765784
301,8.842464074506657
302,13.577269530425232
303,18.204297432073556
304,22.651019051922162
305,26.756891670901283
306,30.316830223798508
307,33.11487103311428
308,34.93034276462566
309,35.53823649144175
310,34.72142596578973
311,32.29456297263598
312,28.16959862052211
313,22.43386954731362
314,15.408532244576946
315,7.6126378961568095
316,-0.3276245933081799
317,-7.770614568909753
318,-14.09123187669052
319,-18.71296147375836
320,-21.153321910266484
321,-21.119486885434668
322,-18.621569128627385
323,-14.053161013740933
324,-8.159779156177425
325,-1.8660646991739942
326,3.8953850001744073
327,8.309924542378479
328,10.817725889254094
329,11.259059590251587
330,9.942361171798554
331,7.484728970905174
332,4.575087666431993
333,1.7707168104710214
334,-0.5726847455641374
335,-2.283655198659471
336,-3.3191259531907864
337,-3.7105290078765436
338,-3.539986724236432
339,-2.935629631220422
340,-2.0672519311384057
341,-1.1290087111454286
342,-0.3121748254966446
343,0.2214086125112903
344,0.37834943420894424
345,0.18591417680852507
346,-0.16094393410486843
347,-0.35878465263324605
348,-0.15673022572276515
349,0.46702963215673493
350,1.2800043766659672
351,1.9386280366443838
352,2.1686302968635935
353,1.8600633585826838
354,1.0340193757921534
355,-0.2188538214510758
356,-1.7707050058874174
357,-3.4553554479687763
358,-5.066059950170312
359,-6.379393048624721
360,-7.168108104178245
361,-7.212686286045339
362,-6.3444497237586654
363,-4.519981391297522
364,-1.8877014287829
365,1.2343385521029553
366,4.428968533568409
367,7.250002979750526
368,9.263564650188613
369,10.128989356209715
370,9.695122648559988
371,8.065597810137893
372,5.539234809243344
373,2.5083742816720194
374,-0.6523755035300601
375,-3.6439900576411763
376,-6.269956307295762
377,-8.412778690843636
378,-9.992730456862748
379,-10.940460337325277
380,-11.216900747246015
381,-10.847378747511739
382,-9.943317517671778
383,-8.675289300877708
384,-7.21586205176136
385,-5.684013775173475
386,-4.12145614857696
387,-2.5141469515967487
388,-0.8294658330389302
389,0.9398044665228142
390,2.754885701852926
391,4.530338268057833
392,6.1577606282628
393,7.524523127205221
394,8.522625642220662
395,9.049036451178376
396,9.023480393330308
397,8.414484239964946
398,7.26166714720357
399,5.670540384307518
400,3.7935155992158
401,1.802307877332555
402,-0.14498526395362318
403,-1.9338707773785184
404,-3.5105026827854053
405,-4.87010390995532
406,-6.036745658376268
407,-7.03801006387737
408,-7.885748456484785
409,-8.56307482991407
410,-9.029931739100016
411,-9.23795816993214
412,-9.149901919947217
413,-8.753151248606658
414,-8.068421778975887
415,-7.146495490430836
416,-6.046638684038201
417,-4.810977449923057
418,-3.444451480884169
419,-1.923973580222846
420,-0.22793998368900784
421,1.6284566023673763
422,3.576552413801616
423,5.509466106540266
424,7.294176306511882
425,8.772978035478133
426,9.744310025942992
427,9.98223266522941
428,9.312146344093371
429,7.703313971948215
430,5.314786334580522
431,2.4458559091193552
432,-0.5422178874823183
433,-3.3121207043421763
434,-5.607828504168478
435,-7.292989447163891
436,-8.341368602330085
437,-8.796234544667245
438,-8.728958684521471
439,-8.22035585401589
440,-7.354133968338174
441,-6.214278691730704
442,-4.882495350834604
443,-3.437310779268648
444,-1.9530939577013466
445,-0.5015966280791605
446,0.8456884780641415
447,2.015891459711978
448,2.9383538160262854
449,3.5582671196918816
450,3.852177564287364
451,3.8372563805355537
452,3.563593055337556
453,3.10264977028146
454,2.5308740124921045
455,1.9170427007676967
456,1.3108879293007782
457,0.7445786435940258
458,0.23702787497084685
459,-0.1881913526983511
460,-0.4851504762391025
461,-0.57707028100788
462,-0.4130242308010951
463,-0.04068459047050599
464,0.3550579690525148
465,0.5459009582891651
466,0.3826320545590738
467,-0.11979562723844035
468,-0.8244340439148535
469,-1.5518474832120825
470,-2.149041546108017
471,-2.5065738510829414
472,-2.546924362559723
473,-2.2111771504309634
474,-1.4715666092970883
475,-0.35885891313865487
476,1.015712523523721
477,2.47985182453145
478,3.830384623917301
479,4.859252896450381
480,5.368253221501678
481,5.211469740331149
482,4.345647906200163
483,2.8615907912818535
484,0.9498288609406695
485,-1.1500445032967572
486,-3.1903312644412236
487,-4.923330876228236
488,-6.110216415655934
489,-6.565940830138357
490,-6.214796770404711
