,Vsys,Psys,Pload,Pbat,Psolar,Prect,P_1,P_2,P_3,Vfc,Pfc,Psell,lx,lx_power,PV_temp,SOC,id,period,day,datetime
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.66,1.76267,1,95,1,2018/8/1 0:00
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.74,1.76267,2,0,1,2018/8/1 0:15
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.81,1.76267,3,1,1,2018/8/1 0:30
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.86,1.76267,4,2,1,2018/8/1 0:45
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.92,1.76267,5,3,1,2018/8/1 1:00
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.68,1.76267,6,4,1,2018/8/1 1:15
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.53,1.76267,7,5,1,2018/8/1 1:30
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.37,1.76267,8,6,1,2018/8/1 1:45
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.21,1.76267,9,7,1,2018/8/1 2:00
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.22,1.76267,10,8,1,2018/8/1 2:15
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.75,1.76267,11,9,1,2018/8/1 2:30
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.67,1.76267,12,10,1,2018/8/1 2:45
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.36,1.76267,13,11,1,2018/8/1 3:00
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.51,1.76267,14,12,1,2018/8/1 3:15
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.56,1.76267,15,13,1,2018/8/1 3:30
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.41,1.76267,16,14,1,2018/8/1 3:45
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.66,1.76267,17,15,1,2018/8/1 4:00
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6,1.76267,18,16,1,2018/8/1 4:15
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.36,1.76267,19,17,1,2018/8/1 4:30
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.47,1.76267,20,18,1,2018/8/1 4:45
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.55,1.76267,21,19,1,2018/8/1 5:00
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.47,1.76267,22,20,1,2018/8/1 5:15
22,0,0,0,0,0,0,0,0,0,0,0,0,0.04,1.36,28.83,1.76267,23,21,1,2018/8/1 5:30
23,0,0,0,0,0,0,0,0,0,0,0,0,0.65,24.19,29.18,1.76267,24,22,1,2018/8/1 5:45
24,0,0,0,0,0,0,0,0,0,0,0,0,2.2,82.69,29.45,1.76267,25,23,1,2018/8/1 6:00
25,0,0,0,0,0,0,0,0,0,0,0,0,4.14,155.2,30.13,1.76267,26,24,1,2018/8/1 6:15
26,0,0,0,0,0,0,0,0,0,0,0,0,8.03,301.08,31.67,1.76267,27,25,1,2018/8/1 6:30
27,0,0,0,0,0,0,0,0,0,0,0,0,8.64,323.91,32.8,1.76267,28,26,1,2018/8/1 6:45
28,0,0,0,0,0,0,0,0,0,0,0,0,10.78,404.16,30.37,1.76267,29,27,1,2018/8/1 7:00
29,0,0,0,0,0,0,0,0,0,0,0,0,9.49,355.73,32.86,1.76267,30,28,1,2018/8/1 7:15
30,0,0,0,0,0,0,0,0,0,0,0,0,13.82,518.25,30.63,1.76267,31,29,1,2018/8/1 7:30
31,0,0,0,0,0,0,0,0,0,0,0,0,14.07,527.77,26.74,1.76267,32,30,1,2018/8/1 7:45
32,0,0,0,0,0,0,0,0,0,0,0,0,15.02,563.16,27.3,1.76267,33,31,1,2018/8/1 8:00
33,0,0,0,0,0,0,0,0,0,0,0,0,30.16,1131.05,36.64,1.76267,34,32,1,2018/8/1 8:15
34,0,0,0,0,0,0,0,0,0,0,0,0,43.35,1625.62,43.62,1.76267,35,33,1,2018/8/1 8:30
35,0,0,0,0,0,0,0,0,0,0,0,0,50.69,1900.92,47.36,1.76267,36,34,1,2018/8/1 8:45
36,0,0,0,0,0,0,0,0,0,0,0,0,53.23,1996.12,48.38,1.76267,37,35,1,2018/8/1 9:00
37,0,0,0,0,0,0,0,0,0,0,0,0,56.96,2135.91,49.85,1.76267,38,36,1,2018/8/1 9:15
38,0,0,0,0,0,0,0,0,0,0,0,0,58.26,2184.8,49.92,1.76267,39,37,1,2018/8/1 9:30
39,0,0,0,0,0,0,0,0,0,0,0,0,67.52,2531.95,52.22,1.76267,40,38,1,2018/8/1 9:45
40,0,0,0,0,0,0,0,0,0,0,0,0,61.39,2302.03,51.37,1.76267,41,39,1,2018/8/1 10:00
41,0,0,0,0,0,0,0,0,0,0,0,0,66.07,2477.67,50.55,1.76267,42,40,1,2018/8/1 10:15
42,0,0,0,0,0,0,0,0,0,0,0,0,79.15,2968.12,56.05,1.76267,43,41,1,2018/8/1 10:30
43,0,0,0,0,0,0,0,0,0,0,0,0,70.51,2643.98,59.02,1.76267,44,42,1,2018/8/1 10:45
44,0,0,0,0,0,0,0,0,0,0,0,0,61.96,2323.45,53.97,1.76267,45,43,1,2018/8/1 11:00
45,0,0,0,0,0,0,0,0,0,0,0,0,70.81,2655.52,54.57,1.76267,46,44,1,2018/8/1 11:15
